stage,flow_type,vehicle_id,type,depot,stops_count,distance_km,total_time_min,daily_route_limit_min,daily_route_compliant,border_delay_profile,border_delay_min
local,ultima_milla_nacional,UY_camion_grande_07,camion_grande,Depósito Salto,1,141.06,159.0,480,True,,0
local,ultima_milla_nacional,UY_camion_mediano_08,camion_mediano,Depósito Salto,1,43.82,73.0,480,True,,0
local,ultima_milla_nacional,UY_camion_grande_09,camion_grande,Depósito Salto,1,25.2,45.8,480,True,,0
local,ultima_milla_nacional,UY_camion_mediano_10,camion_mediano,Depósito Salto,1,235.77,226.5,480,True,,0
local,ultima_milla_nacional,UY_furgoneta_11,furgoneta,Depósito Salto,1,289.69,233.7,480,True,,0
local,ultima_milla_nacional,UY_furgoneta_12,furgoneta,Depósito Salto,1,405.17,402.0,480,True,,0
local,ultima_milla_nacional,UY_camion_mediano_13,camion_mediano,Depósito Salto,1,260.26,362.7,480,True,,0
local,ultima_milla_nacional,UY_camion_grande_14,camion_grande,Depósito Salto,1,355.06,338.8,480,True,,0
local,ultima_milla_nacional,UY_furgoneta_15,furgoneta,Depósito Salto,1,0.0,15.0,480,True,,0
local,ultima_milla_nacional,UY_furgoneta_16,furgoneta,Depósito Salto,1,32.43,53.0,480,True,,0
local,ultima_milla_nacional,UY_camion_mediano_17,camion_mediano,Depósito Salto,1,245.14,242.4,480,True,,0
local,ultima_milla_nacional,UY_camion_grande_18,camion_grande,Depósito Salto,1,247.38,258.7,480,True,,0
local,ultima_milla_nacional,BR_furgoneta_01,furgoneta,Depósito Quaraí,1,315.13,322.7,480,True,,0
local,ultima_milla_nacional,BR_camion_grande_02,camion_grande,Depósito Quaraí,1,133.76,241.5,480,True,,0
local,ultima_milla_nacional,BR_camion_frigorifico_03,camion_frigorifico,Depósito Quaraí,1,217.33,218.9,480,True,,0
local,ultima_milla_nacional,BR_furgoneta_04,furgoneta,Depósito Quaraí,1,520.78,441.6,480,True,,0
local,ultima_milla_nacional,BR_camion_mediano_05,camion_mediano,Depósito Quaraí,1,376.95,357.1,480,True,,0
local,ultima_milla_nacional,BR_furgoneta_06,furgoneta,Depósito Quaraí,1,435.42,358.0,480,True,,0
local,ultima_milla_nacional,BR_furgoneta_07,furgoneta,Depósito Quaraí,1,0.0,15.0,480,True,,0
local,ultima_milla_nacional,BR_camion_mediano_08,camion_mediano,Depósito Quaraí,1,334.9,319.1,480,True,,0
local,ultima_milla_nacional,BR_furgoneta_09,furgoneta,Depósito Quaraí,1,240.47,218.3,480,True,,0
local,ultima_milla_nacional,BR_camion_grande_10,camion_grande,Depósito Quaraí,1,241.48,240.9,480,True,,0
