vehicle_id,vehicle_type,stop_id,cargo_type,x_km,y_km,arrival_hhmm,arrival_min,service_min,packages,has_hazard,expiration_min
G1-04,Furgones Utilitarios Livianos,S0015,small,13.96,14.67,07:00,60,2.5,1,False,
G1-04,Furgones Utilitarios Livianos,S0011,small,13.59,14.16,07:05,65.0,3.0,2,False,
G1-04,Furgones Utilitarios Livianos,S0054,small,14.78,13.1,07:14,74.4,2.5,1,False,
G1-04,Furgones Utilitarios Livianos,S0084,small,14.7,12.56,07:19,79.1,3.5,3,False,
G1-04,Furgones Utilitarios Livianos,S0055,small,15.41,12.69,07:25,85.5,3.0,2,False,
G1-04,Furgones Utilitarios Livianos,S0193,small,16.9,12.88,07:34,94.5,3.5,3,False,
G1-04,Furgones Utilitarios Livianos,S0033,small,16.95,12.76,09:00,180,3.5,3,False,
G1-04,Furgones Utilitarios Livianos,S0067,small,16.17,14.16,09:09,189.9,3.0,2,False,
G1-04,Furgones Utilitarios Livianos,S0249,small,15.95,14.07,09:13,193.9,2.5,1,False,
G1-04,Furgones Utilitarios Livianos,S0066,small,15.53,13.57,09:19,199.0,3.5,3,True,
G1-04,Furgones Utilitarios Livianos,S0072,small,15.34,12.98,09:24,205.0,3.0,2,False,
G1-04,Furgones Utilitarios Livianos,S0065,small,14.66,14.02,09:32,212.9,2.5,1,False,
G1-04,Furgones Utilitarios Livianos,S0061,small,14.13,14.75,09:39,219.1,2.5,1,False,
G1-04,Furgones Utilitarios Livianos,S0016,small,13.64,14.07,09:44,224.9,3.5,3,False,
G1-04,Furgones Utilitarios Livianos,S0081,small,13.34,13.3,09:51,231.7,2.5,1,False,
G1-04,Furgones Utilitarios Livianos,S0062,small,12.99,13.2,09:55,235.6,3.0,2,True,
G1-04,Furgones Utilitarios Livianos,S0082,small,12.1,13.52,10:02,242.4,3.5,3,False,
G1-04,Furgones Utilitarios Livianos,S0247,small,13.36,12.26,10:13,253.1,3.0,2,False,
G1-04,Furgones Utilitarios Livianos,S0060,small,15.22,15.16,10:29,269.8,2.5,1,False,
G1-05,Furgones Utilitarios Livianos,S0056,small,14.49,11.18,07:00,60,2.5,1,False,
G1-05,Furgones Utilitarios Livianos,S0073,small,14.58,10.28,07:06,66.1,2.5,1,False,
G1-05,Furgones Utilitarios Livianos,S0069,small,14.17,9.6,07:11,71.8,3.0,2,False,
G1-05,Furgones Utilitarios Livianos,S0203,small,12.91,10.02,07:20,80.1,3.0,2,False,
G1-05,Furgones Utilitarios Livianos,S0070,small,12.91,11.28,07:28,88.1,3.5,3,False,
G1-05,Furgones Utilitarios Livianos,S0080,small,12.97,11.66,07:33,93.2,3.0,2,False,
G1-05,Furgones Utilitarios Livianos,S0058,small,13.75,11.51,09:00,180,3.5,3,False,
G1-05,Furgones Utilitarios Livianos,S0071,small,13.79,11.32,09:04,184.3,3.5,3,False,
G1-05,Furgones Utilitarios Livianos,S0034,small,13.84,11.15,09:08,188.5,3.5,3,False,
G1-05,Furgones Utilitarios Livianos,S0243,small,14.0,11.73,09:14,194.4,3.5,3,False,
G1-05,Furgones Utilitarios Livianos,S0022,small,14.07,11.76,09:18,198.2,2.5,1,True,
G1-05,Furgones Utilitarios Livianos,S0027,small,14.54,11.58,09:22,202.7,2.5,1,False,
G1-05,Furgones Utilitarios Livianos,S0032,small,14.67,11.47,09:25,205.8,2.5,1,False,
G1-05,Furgones Utilitarios Livianos,S0024,small,15.0,11.15,09:30,210.2,2.5,1,False,
G1-05,Furgones Utilitarios Livianos,S0057,small,14.93,10.6,09:34,214.9,3.5,3,False,
G1-05,Furgones Utilitarios Livianos,S0242,small,13.44,10.42,09:44,224.4,3.0,2,False,
G1-05,Furgones Utilitarios Livianos,S0028,small,12.12,11.53,09:54,234.3,2.5,1,False,
G1-05,Furgones Utilitarios Livianos,S0026,small,11.71,12.17,09:59,239.8,3.5,3,False,
G1-06,Furgones Utilitarios Livianos,S0163,small,9.78,16.1,07:07,67.5,3.5,3,False,
G1-06,Furgones Utilitarios Livianos,S0017,small,8.86,15.43,07:15,75.6,3.5,3,True,
G1-06,Furgones Utilitarios Livianos,S0088,small,7.4,16.38,07:26,86.1,2.5,1,False,
G1-06,Furgones Utilitarios Livianos,S0101,small,7.34,17.36,07:32,92.5,2.5,1,False,
G1-06,Furgones Utilitarios Livianos,S0094,small,7.36,14.2,07:47,107.6,3.5,3,False,
G1-06,Furgones Utilitarios Livianos,S0102,small,7.55,12.83,07:56,116.7,3.5,3,False,
G1-06,Furgones Utilitarios Livianos,S0100,small,4.71,13.37,08:11,131.7,3.0,2,True,
G1-06,Furgones Utilitarios Livianos,S0086,small,4.41,12.43,09:00,180,3.0,2,True,
G1-06,Furgones Utilitarios Livianos,S0098,small,7.3,13.8,09:15,195.8,3.0,2,False,
G1-06,Furgones Utilitarios Livianos,S0096,small,7.54,14.7,09:22,202.5,3.5,3,False,
G1-06,Furgones Utilitarios Livianos,S0092,small,8.18,15.23,09:29,209.4,3.0,2,False,
G1-06,Furgones Utilitarios Livianos,S0090,small,8.49,14.61,09:35,215.1,3.0,2,False,
G1-06,Furgones Utilitarios Livianos,S0091,small,8.82,13.54,09:42,222.6,3.5,3,False,
G1-06,Furgones Utilitarios Livianos,S0099,small,7.98,13.11,09:49,229.9,3.0,2,False,
G1-06,Furgones Utilitarios Livianos,S0089,small,7.19,16.2,10:05,245.7,3.5,3,True,
G1-06,Furgones Utilitarios Livianos,S0095,small,7.57,16.87,10:12,252.2,3.0,2,False,
G1-06,Furgones Utilitarios Livianos,S0087,small,6.64,17.04,10:19,259.0,2.5,1,False,
G1-07,Furgones Utilitarios Livianos,S0116,small,8.27,11.37,07:34,94.3,2.5,1,False,
G1-07,Furgones Utilitarios Livianos,S0110,small,7.15,10.23,07:43,103.2,3.5,3,False,
G1-07,Furgones Utilitarios Livianos,S0108,small,6.12,9.22,07:52,112.5,3.5,3,False,
G1-07,Furgones Utilitarios Livianos,S0218,small,6.94,8.57,08:00,120.2,2.5,1,False,
G1-07,Furgones Utilitarios Livianos,S0119,small,5.09,9.54,08:10,131.0,3.0,2,False,
G1-07,Furgones Utilitarios Livianos,S0112,small,4.35,9.24,08:17,137.2,3.5,3,False,
G1-07,Furgones Utilitarios Livianos,S0113,small,6.19,11.4,08:32,152.1,3.0,2,False,
G1-07,Furgones Utilitarios Livianos,S0103,small,8.92,9.62,08:48,168.1,3.5,3,False,
G1-07,Furgones Utilitarios Livianos,S0207,small,8.23,8.95,09:00,180,3.5,3,False,
G1-07,Furgones Utilitarios Livianos,S0205,small,8.94,8.13,09:07,187.9,3.5,3,False,
G1-07,Furgones Utilitarios Livianos,S0104,small,8.26,7.47,09:15,195.1,3.5,3,False,
G1-07,Furgones Utilitarios Livianos,S0117,small,7.74,7.26,09:20,200.9,2.5,1,False,
G1-07,Furgones Utilitarios Livianos,S0111,small,6.87,9.39,09:32,212.6,3.0,2,False,
G1-07,Furgones Utilitarios Livianos,S0115,small,7.68,10.28,09:40,220.4,3.5,3,False,
G1-07,Furgones Utilitarios Livianos,S0109,small,7.1,10.71,09:46,226.8,3.5,3,False,
G1-08,Furgones Utilitarios Livianos,S0162,small,8.71,18.74,07:30,90.3,2.5,1,False,
G1-08,Furgones Utilitarios Livianos,S0124,small,8.65,19.29,07:35,95.0,2.5,1,False,
G1-08,Furgones Utilitarios Livianos,S0120,small,8.57,20.68,07:43,103.1,3.5,3,False,
G1-08,Furgones Utilitarios Livianos,S0157,small,7.44,21.51,07:52,112.2,3.0,2,False,
G1-08,Furgones Utilitarios Livianos,S0128,small,6.95,20.56,07:59,119.4,2.5,1,False,
G1-08,Furgones Utilitarios Livianos,S0133,small,6.78,19.85,08:04,124.9,2.5,1,False,
G1-08,Furgones Utilitarios Livianos,S0097,small,4.81,18.68,08:16,136.5,3.0,2,False,
G1-08,Furgones Utilitarios Livianos,S0131,small,4.4,19.24,09:00,180,3.0,2,False,
G1-08,Furgones Utilitarios Livianos,S0156,small,7.09,18.5,09:14,194.2,3.0,2,False,
G1-08,Furgones Utilitarios Livianos,S0132,small,7.46,18.95,09:19,199.5,3.5,3,False,
G1-08,Furgones Utilitarios Livianos,S0125,small,7.76,19.34,09:24,205.0,3.5,3,False,
G1-08,Furgones Utilitarios Livianos,S0127,small,8.04,18.71,09:31,211.2,3.5,3,False,
G1-08,Furgones Utilitarios Livianos,S0122,small,9.32,17.85,09:40,220.9,3.0,2,False,
G1-08,Furgones Utilitarios Livianos,S0167,small,8.97,20.63,09:55,235.1,3.0,2,False,
G1-08,Furgones Utilitarios Livianos,S0160,small,9.43,21.52,10:02,242.1,3.0,2,False,
G1-08,Furgones Utilitarios Livianos,S0136,small,7.5,21.47,10:12,252.8,3.5,3,True,
G1-09,Furgones Utilitarios Livianos,S0146,small,17.93,15.84,07:00,60,3.0,2,False,
G1-09,Furgones Utilitarios Livianos,S0200,small,18.75,15.71,07:06,66.3,3.5,3,False,
G1-09,Furgones Utilitarios Livianos,S0141,small,17.73,17.65,07:18,78.6,3.5,3,True,
G1-09,Furgones Utilitarios Livianos,S0143,small,16.62,19.44,07:30,90.5,3.0,2,False,
G1-09,Furgones Utilitarios Livianos,S0137,small,16.37,19.87,07:35,95.5,2.5,1,False,
G1-09,Furgones Utilitarios Livianos,S0152,small,16.68,20.18,07:39,99.7,3.0,2,False,
G1-09,Furgones Utilitarios Livianos,S0148,small,16.9,20.2,07:43,103.6,3.0,2,False,
G1-09,Furgones Utilitarios Livianos,S0182,small,16.39,21.46,07:52,112.1,3.5,3,False,
G1-09,Furgones Utilitarios Livianos,S0145,small,17.31,21.01,09:00,180,3.5,3,False,
G1-09,Furgones Utilitarios Livianos,S0149,small,17.52,20.33,09:06,186.3,2.5,1,False,
G1-09,Furgones Utilitarios Livianos,S0150,small,18.1,19.93,09:11,191.7,3.5,3,False,
G1-09,Furgones Utilitarios Livianos,S0142,small,18.7,19.04,09:19,199.5,3.0,2,False,
G1-09,Furgones Utilitarios Livianos,S0147,small,19.01,18.68,09:24,204.4,2.5,1,False,
G1-09,Furgones Utilitarios Livianos,S0151,small,19.25,19.51,09:30,210.3,2.5,1,False,
G1-09,Furgones Utilitarios Livianos,S0040,small,20.39,19.58,09:37,217.4,2.5,1,False,
G1-09,Furgones Utilitarios Livianos,S0144,small,18.81,20.77,09:47,227.8,3.0,2,False,
G1-09,Furgones Utilitarios Livianos,S0153,small,18.26,21.81,09:55,235.5,2.5,1,False,
G1-09,Furgones Utilitarios Livianos,S0138,small,16.12,18.83,10:12,252.7,3.5,3,False,
G1-09,Furgones Utilitarios Livianos,S0140,small,15.53,19.09,10:18,258.8,2.5,1,False,
G1-10,Furgones Utilitarios Livianos,S0135,small,11.5,19.72,07:13,73.5,3.0,2,False,
G1-10,Furgones Utilitarios Livianos,S0130,small,10.54,20.2,07:20,80.8,3.5,3,False,
G1-10,Furgones Utilitarios Livianos,S0121,small,10.37,19.91,07:25,85.6,3.5,3,True,
G1-10,Furgones Utilitarios Livianos,S0155,small,10.39,19.42,07:31,91.1,2.5,1,False,
G1-10,Furgones Utilitarios Livianos,S0134,small,10.01,19.31,09:00,180,2.5,1,False,
G1-10,Furgones Utilitarios Livianos,S0154,small,10.23,18.89,09:04,184.4,2.5,1,False,
G1-10,Furgones Utilitarios Livianos,S0161,small,10.91,19.21,09:09,189.9,3.0,2,False,
G1-10,Furgones Utilitarios Livianos,S0164,small,11.16,19.09,09:14,194.0,3.0,2,False,
G1-10,Furgones Utilitarios Livianos,S0165,small,11.06,18.94,09:17,197.8,2.5,1,False,
G1-10,Furgones Utilitarios Livianos,S0158,small,11.6,18.39,09:23,203.4,2.5,1,False,
G1-10,Furgones Utilitarios Livianos,S0170,small,12.31,19.68,09:31,211.8,2.5,1,False,
G1-10,Furgones Utilitarios Livianos,S0123,small,11.37,21.54,09:42,222.6,3.0,2,False,
G1-10,Furgones Utilitarios Livianos,S0126,small,9.86,20.69,09:52,232.5,3.5,3,False,
G1-11,Furgones Utilitarios Livianos,S0174,small,15.65,24.35,07:54,114.9,2.5,1,True,
G1-11,Furgones Utilitarios Livianos,S0180,small,14.22,24.98,08:03,123.7,3.5,3,True,
G1-11,Furgones Utilitarios Livianos,S0172,small,13.09,24.36,08:12,132.3,2.5,1,False,
G1-11,Furgones Utilitarios Livianos,S0175,small,13.31,26.41,08:23,143.1,3.5,3,False,
G1-11,Furgones Utilitarios Livianos,S0181,small,17.38,25.1,08:43,163.6,3.0,2,False,
G1-11,Furgones Utilitarios Livianos,S0171,small,16.34,24.47,09:00,180,3.0,2,False,
G1-11,Furgones Utilitarios Livianos,S0179,small,15.36,25.46,09:08,188.6,3.0,2,False,
G1-11,Furgones Utilitarios Livianos,S0173,small,14.6,26.66,09:17,197.3,2.5,1,False,
G1-11,Furgones Utilitarios Livianos,S0178,small,13.44,24.88,09:28,208.3,3.0,2,False,
G1-11,Furgones Utilitarios Livianos,S0183,small,12.87,22.6,09:40,220.6,3.0,2,False,
G1-11,Furgones Utilitarios Livianos,S0177,small,12.16,22.44,09:46,226.6,3.0,2,False,
G1-11,Furgones Utilitarios Livianos,S0129,small,12.36,21.53,09:53,233.3,3.0,2,False,
G1-11,Furgones Utilitarios Livianos,S0176,small,13.84,22.42,10:03,243.2,3.5,3,False,
G1-11,Furgones Utilitarios Livianos,S0186,small,14.28,22.45,10:08,248.5,3.5,3,False,
G1-11,Furgones Utilitarios Livianos,S0185,small,16.08,22.93,10:19,259.4,2.5,1,False,
G1-11,Furgones Utilitarios Livianos,S0139,small,17.3,22.44,10:27,267.2,3.0,2,False,
G1-11,Furgones Utilitarios Livianos,S0159,small,11.58,23.24,10:53,293.3,3.0,2,False,
G1-12,Furgones Utilitarios Livianos,S0197,small,18.9,14.47,07:00,60,3.0,2,False,
G1-12,Furgones Utilitarios Livianos,S0201,small,18.9,13.84,07:05,65.5,3.5,3,True,
G1-12,Furgones Utilitarios Livianos,S0202,small,20.62,12.37,07:18,78.1,3.0,2,True,
G1-12,Furgones Utilitarios Livianos,S0191,small,20.98,12.08,07:22,82.9,2.5,1,False,
G1-12,Furgones Utilitarios Livianos,S0190,small,22.03,12.09,09:00,180,2.5,1,False,
G1-12,Furgones Utilitarios Livianos,S0199,small,22.7,12.82,09:06,186.5,3.5,3,False,
G1-12,Furgones Utilitarios Livianos,S0198,small,22.13,13.13,09:12,192.5,3.0,2,False,
G1-12,Furgones Utilitarios Livianos,S0194,small,22.47,13.44,09:17,197.4,3.0,2,False,
G1-12,Furgones Utilitarios Livianos,S0188,small,21.54,13.85,09:24,204.5,2.5,1,False,
G1-12,Furgones Utilitarios Livianos,S0220,small,20.81,13.41,09:30,210.4,3.0,2,False,
G1-12,Furgones Utilitarios Livianos,S0187,small,20.47,13.26,09:34,214.8,3.5,3,False,
G1-12,Furgones Utilitarios Livianos,S0231,small,19.13,13.13,09:43,223.7,3.0,2,False,
G1-12,Furgones Utilitarios Livianos,S0041,small,21.82,14.95,09:59,239.7,2.5,1,False,
G1-12,Furgones Utilitarios Livianos,S0192,small,23.36,12.73,10:13,253.1,3.0,2,False,
G1-13,Furgones Utilitarios Livianos,S0213,small,10.42,10.62,07:19,79.1,3.0,2,False,
G1-13,Furgones Utilitarios Livianos,S0214,small,11.39,6.43,07:39,99.3,3.5,3,False,
G1-13,Furgones Utilitarios Livianos,S0215,small,11.4,6.55,09:00,180,3.5,3,False,
G1-13,Furgones Utilitarios Livianos,S0209,small,10.0,7.06,09:09,189.5,3.0,2,False,
G1-13,Furgones Utilitarios Livianos,S0208,small,10.17,7.62,09:14,194.8,3.5,3,False,
G1-13,Furgones Utilitarios Livianos,S0105,small,9.26,6.51,09:23,204.0,2.5,1,False,
G1-13,Furgones Utilitarios Livianos,S0114,small,8.76,6.94,09:29,209.1,3.5,3,False,
G1-13,Furgones Utilitarios Livianos,S0211,small,9.32,8.81,09:40,220.5,3.5,3,False,
G1-13,Furgones Utilitarios Livianos,S0216,small,10.17,9.06,09:47,227.5,3.0,2,False,
G1-13,Furgones Utilitarios Livianos,S0206,small,10.06,9.7,09:53,233.1,3.5,3,False,
G1-13,Furgones Utilitarios Livianos,S0106,small,10.07,10.96,10:01,241.7,2.5,1,False,
G1-13,Furgones Utilitarios Livianos,S0217,small,12.52,9.78,10:15,255.0,3.0,2,True,
G1-13,Furgones Utilitarios Livianos,S0079,small,12.99,8.56,10:23,263.3,3.5,3,False,
G1-13,Furgones Utilitarios Livianos,S0212,small,11.88,8.35,10:31,271.3,2.5,1,False,
G1-13,Furgones Utilitarios Livianos,S0204,small,13.06,7.27,10:40,280.3,3.5,3,False,
G1-13,Furgones Utilitarios Livianos,S0210,small,10.59,5.22,10:56,296.6,3.5,3,False,
G1-14,Furgones Utilitarios Livianos,S0234,small,20.09,9.89,07:29,89.0,2.5,1,False,
G1-14,Furgones Utilitarios Livianos,S0225,small,21.06,9.25,07:36,96.2,2.5,1,False,
G1-14,Furgones Utilitarios Livianos,S0219,small,21.92,9.87,07:42,102.9,3.5,3,False,
G1-14,Furgones Utilitarios Livianos,S0222,small,22.02,9.76,07:46,107.0,3.5,3,False,
G1-14,Furgones Utilitarios Livianos,S0224,small,21.81,10.52,07:53,113.7,3.5,3,False,
G1-14,Furgones Utilitarios Livianos,S0227,small,22.9,11.82,08:03,123.9,2.5,1,False,
G1-14,Furgones Utilitarios Livianos,S0221,small,23.69,12.52,08:10,130.7,3.5,3,True,
G1-14,Furgones Utilitarios Livianos,S0230,small,22.04,8.56,08:31,151.3,2.5,1,False,
G1-14,Furgones Utilitarios Livianos,S0226,small,21.64,8.48,09:00,180,3.5,3,False,
G1-14,Furgones Utilitarios Livianos,S0196,small,21.4,9.2,09:06,186.5,2.5,1,False,
G1-14,Furgones Utilitarios Livianos,S0228,small,20.85,7.82,09:14,194.9,2.5,1,False,
G1-14,Furgones Utilitarios Livianos,S0236,small,19.48,9.52,09:26,206.2,2.5,1,False,
G1-14,Furgones Utilitarios Livianos,S0232,small,21.68,11.32,09:40,220.0,2.5,1,False,
G1-14,Furgones Utilitarios Livianos,S0233,small,21.9,11.18,09:43,223.6,2.5,1,False,
G1-14,Furgones Utilitarios Livianos,S0189,small,21.71,11.62,09:47,228.0,2.5,1,False,
G1-14,Furgones Utilitarios Livianos,S0195,small,21.68,11.74,09:50,231.0,2.5,1,False,
G1-14,Furgones Utilitarios Livianos,S0229,small,22.6,10.92,09:58,238.4,3.5,3,False,
G1-14,Furgones Utilitarios Livianos,S0223,small,22.84,10.52,10:03,243.8,3.5,3,False,
G1-15,Furgones Utilitarios Livianos,S0077,small,17.01,11.13,07:00,60,3.5,3,False,
G1-15,Furgones Utilitarios Livianos,S0031,small,16.86,10.98,07:04,64.4,3.0,2,False,
G1-15,Furgones Utilitarios Livianos,S0244,small,17.62,11.34,07:10,70.7,3.0,2,False,
G1-15,Furgones Utilitarios Livianos,S0240,small,16.9,9.48,07:21,81.7,3.5,3,False,
G1-15,Furgones Utilitarios Livianos,S0021,small,15.5,9.52,07:30,90.8,3.5,3,False,
G1-15,Furgones Utilitarios Livianos,S0076,small,14.88,9.94,07:37,97.3,3.5,3,False,
G1-15,Furgones Utilitarios Livianos,S0019,small,15.31,10.48,07:43,103.6,3.0,2,False,
G1-15,Furgones Utilitarios Livianos,S0020,small,14.24,9.38,07:52,112.7,3.0,2,False,
G1-15,Furgones Utilitarios Livianos,S0083,small,17.48,8.01,08:09,129.7,2.5,1,False,
G1-15,Furgones Utilitarios Livianos,S0246,small,17.61,7.74,09:00,180,2.5,1,False,
G1-15,Furgones Utilitarios Livianos,S0239,small,16.45,9.22,09:10,190.0,2.5,1,False,
G1-15,Furgones Utilitarios Livianos,S0078,small,15.63,9.41,09:15,195.9,2.5,1,False,
G1-15,Furgones Utilitarios Livianos,S0085,small,15.55,9.88,09:20,200.3,3.0,2,False,
G1-15,Furgones Utilitarios Livianos,S0075,small,15.43,10.01,09:23,204.0,3.0,2,False,
G1-15,Furgones Utilitarios Livianos,S0030,small,16.03,10.51,09:30,210.1,3.0,2,False,
G1-15,Furgones Utilitarios Livianos,S0053,small,16.52,11.3,09:36,216.8,2.5,1,False,
G1-15,Furgones Utilitarios Livianos,S0237,small,16.34,11.44,09:40,220.2,3.0,2,False,
G1-15,Furgones Utilitarios Livianos,S0235,small,17.14,10.33,09:48,228.7,2.5,1,False,
G2-01,Camiones Medios con Rampa,G0162,general,14.97,14.79,09:00,180,3.0,2,False,
G2-01,Camiones Medios con Rampa,G0043,general,14.49,15.17,09:05,185.4,2.5,1,True,
G2-01,Camiones Medios con Rampa,G0035,general,14.71,15.68,09:10,190.2,2.5,1,True,
G2-01,Camiones Medios con Rampa,G0373,general,14.33,16.14,09:15,195.0,3.0,2,False,
G2-01,Camiones Medios con Rampa,G0030,general,14.58,16.73,09:20,200.6,3.5,3,False,
G2-01,Camiones Medios con Rampa,G0007,general,14.13,17.07,09:26,206.3,3.0,2,False,
G2-01,Camiones Medios con Rampa,G0379,general,14.26,17.47,09:31,211.0,3.0,2,True,
G2-01,Camiones Medios con Rampa,G0365,general,14.07,17.51,09:34,214.8,3.0,2,False,
G2-01,Camiones Medios con Rampa,G0149,general,13.75,17.87,09:39,219.7,2.5,1,False,
G2-01,Camiones Medios con Rampa,G0021,general,13.81,17.95,09:42,222.6,3.0,2,False,
G2-01,Camiones Medios con Rampa,G0038,general,14.55,17.6,09:48,228.9,3.0,2,False,
G2-01,Camiones Medios con Rampa,G0022,general,14.92,18.12,09:54,234.5,3.0,2,False,
G2-01,Camiones Medios con Rampa,G0023,general,14.89,18.28,09:58,238.1,3.0,2,False,
G2-01,Camiones Medios con Rampa,G0372,general,15.09,18.27,10:01,241.9,3.5,3,False,
G2-01,Camiones Medios con Rampa,G0126,general,14.88,18.76,10:07,247.5,3.5,3,False,
G2-01,Camiones Medios con Rampa,G0044,general,14.8,18.77,10:11,251.3,2.5,1,False,
G2-01,Camiones Medios con Rampa,G0032,general,14.55,18.82,10:14,254.8,2.5,1,False,
G2-01,Camiones Medios con Rampa,G0358,general,14.58,19.25,10:19,259.0,3.0,2,False,
G2-01,Camiones Medios con Rampa,G0008,general,14.12,19.71,10:24,264.7,3.0,2,False,
G2-01,Camiones Medios con Rampa,G0086,general,13.49,19.63,10:30,270.2,3.0,2,False,
G2-01,Camiones Medios con Rampa,G0027,general,13.56,18.86,10:36,276.3,3.5,3,True,
G2-01,Camiones Medios con Rampa,G0390,general,13.55,18.79,10:40,280.1,3.0,2,False,
G2-01,Camiones Medios con Rampa,G0012,general,15.29,17.48,10:51,291.8,3.0,2,False,
G2-01,Camiones Medios con Rampa,G0375,general,15.21,17.36,10:55,295.4,3.0,2,False,
G2-01,Camiones Medios con Rampa,G0033,general,15.48,17.38,10:59,299.4,3.0,2,True,
G2-01,Camiones Medios con Rampa,G0036,general,15.45,17.16,11:03,303.3,2.5,1,False,
G2-01,Camiones Medios con Rampa,G0040,general,15.59,17.0,11:06,306.7,3.5,3,True,
G2-01,Camiones Medios con Rampa,G0381,general,15.84,17.02,11:11,311.2,2.5,1,True,
G2-01,Camiones Medios con Rampa,G0377,general,15.96,16.99,11:14,314.2,3.5,3,False,
G2-01,Camiones Medios con Rampa,G0039,general,15.76,17.24,11:18,318.9,2.5,1,False,
G2-01,Camiones Medios con Rampa,G0014,general,15.96,17.34,11:22,322.3,3.5,3,False,
